time,temp
43565.5809,20
43565.58092,20
43565.58099,20
43565.58099,20
43565.58124,20
43565.58124,20
43565.58127,20
43565.58129,20
43565.58134,20
43565.58136,20
43565.58157,20
43565.58157,20
43565.58164,20
43565.58166,20
43565.58173,20
43565.58192,20
43565.58196,30.79
43565.58196,20
43565.58198,20
43565.58206,20
43565.58206,20
43565.58226,20
43565.58226,20
43565.58233,20
43565.5824,20
43565.58245,20
43565.58259,20
43565.58261,20
43565.58268,20
43565.58273,20
43565.58275,20
43565.58277,20
43565.58296,20
43565.58296,19.64
43565.58307,20.5
43565.58307,20
43565.5831,21.22
43565.5831,20
43565.58312,20.57
43565.58312,20
43565.58319,20.5
43565.58323,20.47
43565.58333,20.5
43565.58333,20
43565.58335,20.57
43565.58335,20.5
43565.58335,20.5
43565.58335,20
43565.58349,20
43565.58367,20
43565.5837,20.5
43565.5837,20.06
43565.5837,20
43565.58372,20.5
43565.58384,20.5
43565.58391,27.55
43565.58402,20
43565.58405,20.5
43565.58405,20
43565.58409,20.5
43565.58418,20.5
43565.58439,20
43565.58439,20
43565.58442,20.5
43565.58442,20.5
43565.58453,20.5
43565.58474,20.5
43565.58474,20
43565.58476,20
43565.58479,20.5
43565.58488,20.5
43565.58509,20
43565.58511,20.5
43565.58516,20.5
43565.58516,20
43565.58527,20.5
43565.5853,20.5
43565.58543,20.5
43565.58546,20.5
43565.5855,20.5
43565.58555,31.39
43565.58564,20.5
43565.58564,20.5
43565.5858,20.5
43565.58581,20.5
43565.58585,20.5
43565.58599,20.5
43565.58601,20.5
43565.58615,20.5
43565.58615,20.5
43565.5862,20.5
43565.58634,20.5
43565.58634,20.5
43565.58648,20.5
43565.58648,19.63
43565.5865,20.5
43565.58652,20.5
43565.58655,20.5
43565.58661,20.91
43565.58666,21.24
43565.58671,20.5
43565.58673,20.82
43565.58678,20.5
43565.58685,20.9
43565.58689,20.84
43565.58689,20.8
43565.58689,20.5
43565.58689,20.5
43565.58692,20.5
43565.58708,20.5
43565.58717,20.5
43565.58722,20.5
43565.58722,20.5
43565.58724,20.5
43565.58724,20.05
43565.58742,20.5
43565.58745,27.72
43565.58752,20.5
43565.58759,20.5
43565.58759,20.5
43565.58761,20.5
43565.58777,20.5
43565.58786,20.5
43565.58794,20.5
43565.58794,20.5
43565.58798,20.5
43565.58805,20.5
43565.58812,20.5
43565.58814,20.5
43565.58824,20.5
43565.58833,20.5
43565.58842,20.5
43565.58847,20.5
43565.58851,21
43565.58856,20.5
43565.58867,20.5
43565.58877,20.5
43565.58884,21
43565.58884,20.5
43565.58893,20.5
43565.58902,20.5
43565.58911,20.5
43565.58918,31.5
43565.58921,21
43565.58921,20.5
43565.5893,20.5
43565.58937,20.5
43565.58944,20.5
43565.58955,20.5
43565.5896,21
43565.58962,20.5
43565.58972,21
43565.58981,20.5
43565.5899,21
43565.5899,20.5
43565.58999,19.62
43565.59002,20.5
43565.59009,21
43565.59016,21.18
43565.59016,21
43565.59018,20.5
43565.5902,21.26
43565.59023,20.5
43565.5903,20.5
